00000000000000000011	-nan
00000000000000000101	-nan
00000000000000001001	-nan
00000000000000010001	-nan
00000000000000100001	-nan
00000000000001000001	-nan
00000000000010000001	-nan
00000000000100000001	-nan
00000000001000000001	-nan
00000000010000000001	-nan
00000000100000000001	-nan
00000001000000000001	-nan
00000010000000000001	-nan
00000100000000000001	-nan
00001000000000000001	-nan
00010000000000000001	-nan
00100000000000000001	-nan
01000000000000000001	-nan
10000000000000000001	-nan
00000000000000000110	-nan
00000000000000001010	-nan
00000000000000010010	-nan
00000000000000100010	-nan
00000000000001000010	-nan
00000000000010000010	-nan
00000000000100000010	-nan
00000000001000000010	-nan
00000000010000000010	-nan
00000000100000000010	-nan
00000001000000000010	-nan
00000010000000000010	-nan
00000100000000000010	-nan
00001000000000000010	-nan
00010000000000000010	-nan
00100000000000000010	-nan
01000000000000000010	-nan
10000000000000000010	-nan
00000000000000001100	-nan
00000000000000010100	-nan
00000000000000100100	-nan
00000000000001000100	-nan
00000000000010000100	-nan
00000000000100000100	-nan
00000000001000000100	-nan
00000000010000000100	-nan
00000000100000000100	-nan
00000001000000000100	-nan
00000010000000000100	-nan
00000100000000000100	-nan
00001000000000000100	-nan
00010000000000000100	-nan
00100000000000000100	-nan
01000000000000000100	-nan
10000000000000000100	-nan
00000000000000011000	-nan
00000000000000101000	-nan
00000000000001001000	-nan
00000000000010001000	-nan
00000000000100001000	-nan
00000000001000001000	-nan
00000000010000001000	-nan
00000000100000001000	-nan
00000001000000001000	-nan
00000010000000001000	-nan
00000100000000001000	-nan
00001000000000001000	-nan
00010000000000001000	-nan
00100000000000001000	-nan
01000000000000001000	-nan
10000000000000001000	-nan
00000000000000110000	-nan
00000000000001010000	-nan
00000000000010010000	-nan
00000000000100010000	-nan
00000000001000010000	-nan
00000000010000010000	-nan
00000000100000010000	-nan
00000001000000010000	-nan
00000010000000010000	-nan
00000100000000010000	-nan
00001000000000010000	-nan
00010000000000010000	-nan
00100000000000010000	-nan
01000000000000010000	-nan
10000000000000010000	-nan
00000000000001100000	-nan
00000000000010100000	-nan
00000000000100100000	-nan
00000000001000100000	-nan
00000000010000100000	-nan
00000000100000100000	-nan
00000001000000100000	-nan
00000010000000100000	-nan
00000100000000100000	-nan
00001000000000100000	-nan
00010000000000100000	-nan
00100000000000100000	-nan
01000000000000100000	-nan
10000000000000100000	-nan
00000000000011000000	-nan
00000000000101000000	-nan
00000000001001000000	-nan
00000000010001000000	-nan
00000000100001000000	-nan
00000001000001000000	-nan
00000010000001000000	-nan
00000100000001000000	-nan
00001000000001000000	-nan
00010000000001000000	-nan
00100000000001000000	-nan
01000000000001000000	-nan
10000000000001000000	-nan
00000000000110000000	-nan
00000000001010000000	-nan
00000000010010000000	-nan
00000000100010000000	-nan
00000001000010000000	-nan
00000010000010000000	-nan
00000100000010000000	-nan
00001000000010000000	-nan
00010000000010000000	-nan
00100000000010000000	-nan
01000000000010000000	-nan
10000000000010000000	-nan
00000000001100000000	-nan
00000000010100000000	-nan
00000000100100000000	-nan
00000001000100000000	-nan
00000010000100000000	-nan
00000100000100000000	-nan
00001000000100000000	-nan
00010000000100000000	-nan
00100000000100000000	-nan
01000000000100000000	-nan
10000000000100000000	-nan
00000000011000000000	-nan
00000000101000000000	-nan
00000001001000000000	-nan
00000010001000000000	-nan
00000100001000000000	-nan
00001000001000000000	-nan
00010000001000000000	-nan
00100000001000000000	-nan
01000000001000000000	-nan
10000000001000000000	-nan
00000000110000000000	-nan
00000001010000000000	-nan
00000010010000000000	-nan
00000100010000000000	-nan
00001000010000000000	-nan
00010000010000000000	-nan
00100000010000000000	-nan
01000000010000000000	-nan
10000000010000000000	-nan
00000001100000000000	-nan
00000010100000000000	-nan
00000100100000000000	-nan
00001000100000000000	-nan
00010000100000000000	-nan
00100000100000000000	-nan
01000000100000000000	-nan
10000000100000000000	-nan
00000011000000000000	-nan
00000101000000000000	-nan
00001001000000000000	-nan
00010001000000000000	-nan
00100001000000000000	-nan
01000001000000000000	-nan
10000001000000000000	-nan
00000110000000000000	-nan
00001010000000000000	-nan
00010010000000000000	-nan
00100010000000000000	-nan
01000010000000000000	-nan
10000010000000000000	-nan
00001100000000000000	-nan
00010100000000000000	-nan
00100100000000000000	-nan
01000100000000000000	-nan
10000100000000000000	-nan
00011000000000000000	-nan
00101000000000000000	-nan
01001000000000000000	-nan
10001000000000000000	-nan
00110000000000000000	-nan
01010000000000000000	-nan
10010000000000000000	-nan
01100000000000000000	-nan
10100000000000000000	-nan
11000000000000000000	-nan
